,0
time_since_publish_days,0.99086920723371
duration_min,0.01859485416628176
title_len,0.012461865834370612
cat_28,0.010019981727364602
cat_25,0.006535760358440557
cat_22,0.005248962705967197
cat_27,0.003540175257333322
cat_23,0.0029702416191902726
title_word_count,0.0018033307085118522
has_4k,3.241910090027167e-05
num_tags,-1.1102230246251565e-16
cat_20,-6.570626841955196e-05
has_tutorial,-0.00040257254363327275
cat_26,-0.000620792223724309
cat_24,-0.0010808580301291948
cat_17,-0.0037283283422092526
cat_other,-0.003954169988404821
cat_10,-0.009456006410226958
